neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month
Hackney,Private room,59.43,21,287,321,1.14
Hammersmith,Entire home/apt,269.33,28,272,351,3.8
Islington,Shared room,56.1,23,3,326,0.03
Camden,Entire home/apt,236.68,17,224,347,0.43
Southwark,Private room,93.18,12,18,295,0.2
Hackney,Entire home/apt,127.82,10,282,181,1.85
Camden,Private room,41.79,25,95,265,2.36
Kensington and Chelsea,Entire home/apt,189.28,24,41,302,0.12
Lambeth,Entire home/apt,103.92,16,161,159,1.3
Camden,Entire home/apt,214.11,9,75,345,0.03
Wandsworth,Entire home/apt,156.74,1,123,163,0.38
Camden,Private room,72.69,14,193,284,3.28
Southwark,Private room,74.07,10,109,333,3.66
Kensington and Chelsea,Entire home/apt,1032.43,26,149,35,9.52
Lambeth,Entire home/apt,195.15,25,95,163,1.91
Lambeth,Entire home/apt,167.54,13,122,186,5.16
Southwark,Private room,67.0,6,86,141,0.27
Westminster,Private room,105.1,15,43,97,0.77
Tower Hamlets,Private room,44.28,11,244,286,0.78
Hackney,Entire home/apt,91.58,23,287,250,3.47
Southwark,Entire home/apt,172.36,22,218,88,0.99
Westminster,Entire home/apt,150.75,23,95,74,3.54
Lambeth,Entire home/apt,246.32,3,19,45,1.25
Hammersmith,Entire home/apt,197.42,1,193,339,2.29
Hackney,Entire home/apt,237.49,12,203,211,2.41
Wandsworth,Private room,109.86,19,274,101,0.19
Wandsworth,Entire home/apt,428.22,22,42,210,0.51
Kensington and Chelsea,Shared room,44.75,16,114,25,0.71
Wandsworth,Entire home/apt,272.29,14,266,153,0.7
Lambeth,Entire home/apt,450.96,19,229,219,4.56
Kensington and Chelsea,Entire home/apt,173.44,19,116,45,2.64
Wandsworth,Shared room,52.74,29,117,53,0.8
Lambeth,Private room,70.35,26,10,347,5.46
Islington,Private room,94.4,18,27,234,6.97
Hammersmith,Private room,61.39,14,34,285,1.38
Hackney,Entire home/apt,150.96,20,92,172,0.24
Kensington and Chelsea,Shared room,47.57,26,86,216,5.64
Lambeth,Entire home/apt,437.61,17,168,329,1.3
Islington,Entire home/apt,113.24,28,3,131,0.47
Hammersmith,Entire home/apt,146.64,7,177,188,1.72
Kensington and Chelsea,Private room,79.76,27,31,333,0.32
Hackney,Entire home/apt,162.03,27,30,259,1.91
Islington,Shared room,49.43,4,29,157,0.76
Camden,Private room,147.08,4,17,89,0.65
Islington,Private room,52.22,12,199,151,1.04
Southwark,Entire home/apt,73.01,5,29,248,4.51
Hammersmith,Private room,66.94,21,270,257,2.07
Southwark,Entire home/apt,250.17,18,258,134,4.65
Lambeth,Entire home/apt,106.54,26,10,67,0.44
Tower Hamlets,Entire home/apt,142.03,29,21,171,5.48
Hammersmith,Private room,46.11,16,166,223,0.5
Islington,Entire home/apt,412.47,26,149,214,3.1
Southwark,Entire home/apt,232.22,15,122,338,2.71
Hackney,Entire home/apt,88.08,15,293,76,6.09
Hackney,Entire home/apt,141.15,4,178,84,0.05
Kensington and Chelsea,Private room,119.24,13,194,8,1.63
Southwark,Entire home/apt,179.05,5,0,265,5.84
Kensington and Chelsea,Entire home/apt,126.1,25,11,344,0.27
Hammersmith,Private room,58.58,23,170,133,2.31
Wandsworth,Entire home/apt,193.69,13,42,333,0.67
Wandsworth,Entire home/apt,267.84,9,231,219,0.82
Wandsworth,Entire home/apt,104.83,3,5,279,0.76
Southwark,Entire home/apt,210.21,2,174,318,3.04
Camden,Private room,65.44,23,202,146,9.79
Southwark,Private room,185.45,11,213,150,0.03
Hackney,Entire home/apt,142.5,23,219,347,2.63
Westminster,Private room,118.2,17,36,98,0.3
Hackney,Entire home/apt,179.42,6,125,342,1.68
Lambeth,Entire home/apt,89.06,14,235,213,4.23
Kensington and Chelsea,Entire home/apt,555.6,9,64,133,0.88
Islington,Entire home/apt,68.92,11,145,342,0.56
Southwark,Entire home/apt,96.96,23,87,302,0.05
Hammersmith,Entire home/apt,193.09,27,136,244,1.68
Southwark,Private room,70.61,16,76,176,0.29
Southwark,Private room,78.67,2,24,57,0.01
Lambeth,Private room,55.95,29,37,74,1.76
Kensington and Chelsea,Entire home/apt,175.86,19,145,240,0.9
Kensington and Chelsea,Entire home/apt,260.33,1,152,125,1.72
Wandsworth,Entire home/apt,271.79,25,15,181,4.88
Westminster,Entire home/apt,292.58,1,235,359,0.57
Camden,Entire home/apt,401.93,6,47,38,2.57
Hammersmith,Entire home/apt,437.03,20,273,87,1.02
Wandsworth,Private room,101.09,13,136,153,5.4
Hackney,Private room,61.87,5,246,260,1.66
Camden,Private room,58.08,9,7,66,0.1
Wandsworth,Entire home/apt,211.42,11,98,297,3.92
Kensington and Chelsea,Entire home/apt,348.97,9,198,129,2.28
Islington,Private room,70.2,7,150,156,0.72
Hackney,Private room,65.37,20,235,182,0.28
Camden,Shared room,42.25,26,219,105,2.59
Hackney,Entire home/apt,402.46,5,213,314,0.01
Kensington and Chelsea,Private room,75.66,15,216,34,3.74
Westminster,Private room,95.62,17,143,110,0.62
Hackney,Entire home/apt,160.3,28,79,82,4.17
Islington,Private room,61.73,24,214,133,2.29
Wandsworth,Entire home/apt,186.46,14,151,330,1.43
Hackney,Entire home/apt,154.71,16,20,53,2.17
Kensington and Chelsea,Private room,104.94,16,223,213,3.91
Wandsworth,Shared room,29.62,22,195,34,4.13
Lambeth,Entire home/apt,157.77,7,282,0,1.29
Lambeth,Entire home/apt,185.77,10,177,62,2.55
Wandsworth,Entire home/apt,118.65,17,226,47,3.54
Tower Hamlets,Shared room,28.94,16,252,316,0.9
Westminster,Entire home/apt,69.25,20,150,337,1.05
Camden,Entire home/apt,187.11,4,246,263,2.38
Wandsworth,Entire home/apt,165.71,8,188,255,0.02
Westminster,Entire home/apt,120.67,18,191,252,1.08
Kensington and Chelsea,Entire home/apt,259.68,2,208,356,2.18
Kensington and Chelsea,Entire home/apt,73.1,22,290,271,3.84
Westminster,Entire home/apt,148.6,16,129,131,1.44
Camden,Private room,114.29,5,147,15,0.94
Southwark,Entire home/apt,129.8,5,184,321,0.0
Tower Hamlets,Entire home/apt,223.28,29,250,96,2.57
Westminster,Entire home/apt,173.42,1,215,131,1.44
Camden,Entire home/apt,278.18,10,104,227,5.0
Camden,Entire home/apt,297.69,10,55,112,0.99
Camden,Entire home/apt,278.74,29,78,145,4.02
Hackney,Entire home/apt,272.13,2,195,322,3.3
Camden,Shared room,34.86,1,67,304,3.9
Southwark,Entire home/apt,247.56,9,250,331,6.16
Kensington and Chelsea,Private room,165.04,6,64,181,0.55
Kensington and Chelsea,Entire home/apt,191.84,7,82,318,0.13
Hackney,Entire home/apt,188.99,29,41,97,3.67
Camden,Entire home/apt,176.0,17,293,206,3.06
Lambeth,Private room,44.16,2,290,113,0.42
Tower Hamlets,Private room,41.1,6,178,218,2.68
Lambeth,Entire home/apt,316.43,10,191,170,0.03
Islington,Shared room,43.35,21,107,334,4.21
Tower Hamlets,Private room,155.91,2,9,124,1.19
Lambeth,Private room,39.12,9,128,238,1.58
Lambeth,Private room,50.57,23,43,26,0.87
Tower Hamlets,Entire home/apt,111.92,27,184,68,0.3
Islington,Private room,200.51,16,153,34,1.98
Islington,Private room,82.54,1,168,168,4.99
Hackney,Private room,84.53,9,0,60,0.75
Lambeth,Entire home/apt,160.99,7,89,225,2.33
Southwark,Entire home/apt,142.73,15,169,306,2.06
Kensington and Chelsea,Private room,96.6,15,61,154,2.49
Camden,Entire home/apt,213.11,13,270,88,2.3
Lambeth,Entire home/apt,44.69,26,202,73,2.58
Southwark,Entire home/apt,125.45,5,129,351,1.32
Kensington and Chelsea,Entire home/apt,215.6,17,272,116,1.69
Kensington and Chelsea,Private room,96.63,29,151,73,1.53
Camden,Private room,43.54,20,100,44,0.79
Wandsworth,Private room,197.91,15,106,107,0.1
Southwark,Private room,75.63,26,25,216,2.35
Westminster,Entire home/apt,76.59,10,274,272,0.71
Westminster,Entire home/apt,211.75,3,48,54,3.58
Kensington and Chelsea,Private room,117.84,14,188,309,1.01
Westminster,Entire home/apt,305.57,22,143,199,2.76
Lambeth,Private room,81.98,11,153,89,1.81
Westminster,Private room,76.84,13,211,62,0.22
Tower Hamlets,Private room,64.05,17,139,217,1.49
Kensington and Chelsea,Private room,137.66,12,281,148,0.46
Tower Hamlets,Entire home/apt,145.39,13,278,336,3.65
Camden,Entire home/apt,171.42,27,45,182,2.63
Camden,Private room,40.67,12,237,133,1.38
Tower Hamlets,Entire home/apt,102.0,12,179,122,1.9
Southwark,Entire home/apt,293.62,6,83,154,3.81
Southwark,Private room,71.17,27,68,10,0.64
Hackney,Entire home/apt,182.35,15,92,16,1.46
Kensington and Chelsea,Entire home/apt,616.78,11,105,34,0.73
Islington,Private room,78.93,14,33,168,3.45
Westminster,Entire home/apt,337.27,19,256,267,0.12
Hammersmith,Entire home/apt,391.03,4,196,18,5.12
Westminster,Private room,56.71,6,124,306,1.34
Wandsworth,Private room,239.23,11,123,308,2.6
Southwark,Private room,47.02,8,291,361,1.15
Lambeth,Private room,56.35,7,19,215,0.98
Wandsworth,Entire home/apt,174.92,6,293,245,3.97
Lambeth,Entire home/apt,328.28,24,50,265,2.23
Southwark,Entire home/apt,196.43,21,56,38,1.32
Camden,Entire home/apt,126.19,14,179,31,7.95
Wandsworth,Entire home/apt,111.24,2,56,179,1.11
Islington,Entire home/apt,165.55,21,257,17,0.21
Southwark,Entire home/apt,122.79,3,245,109,0.86
Kensington and Chelsea,Entire home/apt,166.48,20,176,138,4.06
Hammersmith,Private room,76.39,15,12,295,1.46
Hammersmith,Private room,53.48,23,250,309,0.37
Kensington and Chelsea,Entire home/apt,59.5,25,17,56,1.59
Hammersmith,Entire home/apt,128.33,26,103,185,1.45
Camden,Entire home/apt,97.54,28,81,76,3.94
Camden,Entire home/apt,307.56,12,15,150,1.74
Wandsworth,Entire home/apt,128.47,5,4,329,2.54
Wandsworth,Entire home/apt,91.91,7,39,354,0.72
Tower Hamlets,Private room,51.5,1,10,107,1.92
Southwark,Shared room,24.87,17,218,150,6.08
Tower Hamlets,Private room,58.23,21,299,89,3.39
Westminster,Entire home/apt,352.93,22,283,311,0.26
Camden,Shared room,45.57,13,102,105,1.34
Hammersmith,Entire home/apt,178.22,1,70,55,1.97
Southwark,Private room,80.53,10,170,142,2.68
Southwark,Entire home/apt,113.23,22,3,350,2.06
Kensington and Chelsea,Entire home/apt,178.27,23,97,100,1.14
Southwark,Entire home/apt,290.91,4,254,206,0.69
Tower Hamlets,Entire home/apt,100.08,10,0,166,2.18
Westminster,Entire home/apt,243.78,10,245,89,1.82
Lambeth,Private room,50.3,4,58,323,1.4
Camden,Shared room,48.55,15,167,47,1.09
Camden,Private room,70.18,17,79,184,3.2
Tower Hamlets,Shared room,34.04,3,213,341,3.98
Camden,Entire home/apt,70.93,17,75,310,0.06
Tower Hamlets,Private room,81.88,21,83,206,3.46
Southwark,Entire home/apt,129.19,17,36,332,2.1
Camden,Entire home/apt,450.47,19,299,6,0.02
Southwark,Entire home/apt,173.47,2,193,324,0.01
Hammersmith,Entire home/apt,182.0,10,127,178,1.47
Westminster,Private room,79.77,7,77,84,2.9
Westminster,Entire home/apt,180.75,20,295,165,1.22
Hackney,Private room,80.84,1,140,333,1.88
Westminster,Shared room,57.73,25,70,218,1.91
Kensington and Chelsea,Shared room,36.79,20,181,24,6.38
Kensington and Chelsea,Entire home/apt,289.38,19,192,236,0.11
Southwark,Entire home/apt,154.0,8,152,126,0.89
Islington,Entire home/apt,428.61,6,86,200,0.01
Camden,Shared room,41.43,24,117,190,1.88
Tower Hamlets,Private room,67.16,4,18,16,0.48
Camden,Entire home/apt,145.44,27,80,38,1.04
Tower Hamlets,Shared room,36.34,24,284,195,1.57
Southwark,Entire home/apt,295.67,25,210,267,0.29
Kensington and Chelsea,Private room,107.83,3,213,282,0.84
Tower Hamlets,Entire home/apt,135.07,17,108,128,0.54
Islington,Entire home/apt,220.36,27,219,17,2.12
Westminster,Private room,100.83,12,71,309,5.2
Camden,Entire home/apt,172.34,9,200,199,6.81
Hackney,Private room,49.09,14,219,157,4.52
Tower Hamlets,Entire home/apt,112.49,16,165,310,0.1
Kensington and Chelsea,Entire home/apt,168.08,7,184,350,1.35
Southwark,Private room,135.49,15,107,121,3.09
Islington,Private room,79.8,19,251,118,0.02
Camden,Private room,58.3,12,270,77,3.37
Southwark,Entire home/apt,230.82,3,2,213,2.26
Hackney,Entire home/apt,117.38,7,268,321,0.27
Islington,Private room,49.44,20,133,210,1.06
Hammersmith,Entire home/apt,106.56,6,3,151,6.19
Hackney,Entire home/apt,158.09,5,167,175,0.76
Kensington and Chelsea,Entire home/apt,315.08,14,140,154,2.07
Tower Hamlets,Entire home/apt,178.82,3,257,248,3.01
Camden,Entire home/apt,304.49,15,106,322,0.7
Hammersmith,Shared room,58.43,5,83,102,8.74
Wandsworth,Entire home/apt,266.87,10,56,39,1.13
Hackney,Entire home/apt,543.56,5,217,10,2.56
Southwark,Private room,83.91,8,30,74,1.19
Camden,Private room,201.66,20,225,198,0.71
Lambeth,Private room,71.02,2,213,339,0.24
Westminster,Private room,90.64,5,48,51,0.62
Camden,Entire home/apt,189.36,21,292,242,0.69
Hammersmith,Entire home/apt,160.42,27,175,299,3.17
Westminster,Entire home/apt,192.33,2,168,314,4.83
Southwark,Entire home/apt,611.38,20,279,188,0.16
Hammersmith,Private room,75.5,15,52,186,0.97
Islington,Private room,43.0,21,223,153,1.41
Hackney,Private room,97.96,19,38,259,1.25
Kensington and Chelsea,Entire home/apt,124.8,20,10,96,12.64
Westminster,Private room,175.67,3,290,158,0.59
Westminster,Private room,175.02,6,83,190,0.9
Camden,Entire home/apt,329.34,9,257,187,3.07
Hammersmith,Entire home/apt,223.94,4,84,48,0.83
Westminster,Shared room,77.34,21,229,254,0.62
Kensington and Chelsea,Entire home/apt,320.77,15,122,143,0.08
Southwark,Entire home/apt,163.64,2,154,165,1.39
Lambeth,Private room,75.23,11,263,96,1.6
Lambeth,Entire home/apt,129.79,25,92,264,0.19
Hammersmith,Private room,135.82,22,79,291,0.42
Lambeth,Entire home/apt,135.21,29,101,165,0.45
Southwark,Entire home/apt,217.65,9,248,90,0.64
Hammersmith,Entire home/apt,268.51,8,214,220,2.25
Islington,Private room,63.36,9,282,57,0.28
Wandsworth,Private room,51.39,10,152,181,0.8
Lambeth,Private room,70.15,6,52,65,0.15
Camden,Private room,67.41,1,208,250,6.34
Tower Hamlets,Shared room,45.68,9,258,45,2.98
Kensington and Chelsea,Entire home/apt,378.96,1,23,34,7.47
Tower Hamlets,Private room,66.02,16,58,242,0.53
Wandsworth,Entire home/apt,149.0,4,298,324,1.04
Hammersmith,Entire home/apt,357.01,2,102,296,0.88
Islington,Private room,39.75,17,25,160,0.22
Camden,Private room,72.15,7,131,275,1.21
Tower Hamlets,Entire home/apt,38.84,3,111,285,0.2
Wandsworth,Private room,139.44,16,82,64,0.23
Hackney,Entire home/apt,87.96,21,163,67,5.15
Southwark,Entire home/apt,215.04,16,168,21,0.52
Tower Hamlets,Private room,38.07,22,89,84,1.13
Hackney,Private room,95.04,14,48,100,0.41
Westminster,Shared room,40.82,20,1,242,0.51
Southwark,Private room,101.26,4,139,28,1.12
Islington,Entire home/apt,110.61,10,170,336,6.11
Hammersmith,Private room,90.42,1,99,145,0.62
Wandsworth,Entire home/apt,120.61,6,119,169,0.06
Tower Hamlets,Private room,44.38,25,171,230,0.54
Hackney,Entire home/apt,99.54,13,209,254,0.39
Wandsworth,Private room,74.02,13,195,352,6.73
Southwark,Entire home/apt,223.77,5,44,136,0.13
Westminster,Entire home/apt,437.37,18,203,28,3.39
Wandsworth,Entire home/apt,136.5,3,67,24,2.47
Islington,Shared room,33.28,23,129,245,0.12
Camden,Entire home/apt,165.88,10,299,329,2.63
Wandsworth,Private room,31.28,7,254,54,0.71
Hackney,Entire home/apt,135.63,11,187,185,4.43
Westminster,Private room,172.95,11,145,84,1.97
Tower Hamlets,Entire home/apt,124.22,18,254,29,1.41
Wandsworth,Shared room,43.09,19,275,280,2.18
Kensington and Chelsea,Private room,117.57,27,189,82,1.46
Hammersmith,Private room,104.31,28,168,288,1.17
Hackney,Entire home/apt,152.67,12,71,132,1.16
Southwark,Private room,78.83,26,132,21,2.69
Westminster,Entire home/apt,243.24,21,285,281,0.89
Islington,Entire home/apt,151.54,16,240,133,3.23
Lambeth,Entire home/apt,318.12,28,272,246,0.49
Hammersmith,Private room,111.18,22,245,261,1.33
Hackney,Private room,67.22,8,88,140,1.23
Hammersmith,Private room,123.13,27,8,78,1.26
Wandsworth,Private room,52.45,6,130,119,3.86
Islington,Entire home/apt,396.02,17,209,102,0.73
Southwark,Shared room,38.34,1,90,91,1.91
Camden,Entire home/apt,71.68,9,129,292,0.57
Kensington and Chelsea,Entire home/apt,385.38,14,28,142,1.06
Hammersmith,Private room,133.2,16,191,159,0.84
Camden,Entire home/apt,208.88,26,255,280,0.06
Southwark,Private room,72.06,26,293,86,0.29
Westminster,Entire home/apt,215.93,12,27,16,4.77
Kensington and Chelsea,Entire home/apt,330.16,3,75,230,3.13
Kensington and Chelsea,Entire home/apt,91.55,1,93,173,0.03
Islington,Entire home/apt,296.15,8,104,26,5.38
Islington,Private room,90.08,21,19,254,3.41
Tower Hamlets,Private room,62.9,2,120,25,1.33
Wandsworth,Private room,106.63,19,47,312,6.56
Southwark,Private room,77.16,7,204,184,3.26
Hackney,Private room,89.95,24,211,15,0.19
Hammersmith,Private room,99.53,14,255,253,0.61
Wandsworth,Entire home/apt,153.24,28,14,291,0.2
Southwark,Entire home/apt,153.83,9,279,304,0.97
Tower Hamlets,Private room,61.23,26,28,150,3.84
Westminster,Entire home/apt,137.26,21,278,56,0.9
Hammersmith,Entire home/apt,323.44,7,76,150,0.83
Westminster,Private room,90.5,18,72,188,2.59
Hackney,Entire home/apt,150.7,20,195,329,0.55
Southwark,Entire home/apt,339.45,16,217,252,1.19
Westminster,Entire home/apt,292.82,8,11,290,1.19
Camden,Entire home/apt,68.08,16,272,287,0.56
Kensington and Chelsea,Entire home/apt,208.27,21,258,102,0.83
Westminster,Shared room,59.8,13,225,236,3.83
Hammersmith,Private room,143.73,24,284,105,0.62
Kensington and Chelsea,Entire home/apt,158.9,26,23,108,1.75
Wandsworth,Entire home/apt,149.89,3,181,361,1.5
Southwark,Entire home/apt,252.73,11,266,286,4.01
Islington,Entire home/apt,114.84,11,100,164,2.82
Camden,Entire home/apt,143.02,12,129,83,0.22
Tower Hamlets,Private room,29.16,2,122,135,4.17
Southwark,Private room,188.9,18,117,201,1.96
Hackney,Entire home/apt,95.81,7,77,74,0.07
Southwark,Private room,90.53,15,210,47,3.62
Tower Hamlets,Entire home/apt,104.7,4,8,120,8.62
Southwark,Private room,42.94,18,242,240,0.11
Camden,Private room,38.76,15,134,221,7.02
Westminster,Entire home/apt,340.11,6,261,282,0.31
Southwark,Entire home/apt,168.47,10,162,115,5.91
Camden,Entire home/apt,293.28,28,279,135,1.37
Southwark,Entire home/apt,300.21,17,285,327,0.91
Hammersmith,Entire home/apt,135.51,2,6,126,1.04
Islington,Entire home/apt,196.9,18,131,363,0.99
Islington,Entire home/apt,114.09,5,222,249,3.7
Kensington and Chelsea,Private room,114.97,26,8,303,1.07
Wandsworth,Entire home/apt,96.27,10,280,77,0.18
Hackney,Private room,47.38,10,190,323,1.6
Southwark,Private room,45.49,14,239,338,3.81
Hackney,Entire home/apt,246.22,12,261,106,0.83
Camden,Private room,78.32,2,224,201,1.79
Islington,Private room,135.4,6,235,126,3.51
Hackney,Entire home/apt,346.24,1,234,288,1.18
Southwark,Entire home/apt,107.1,9,86,241,6.06
Southwark,Shared room,41.34,18,280,322,0.86
Islington,Private room,74.82,16,7,294,1.33
Westminster,Entire home/apt,227.08,8,218,347,0.92
Westminster,Private room,208.86,29,8,288,5.42
Southwark,Entire home/apt,154.11,5,265,261,1.93
Wandsworth,Entire home/apt,141.15,8,9,232,1.05
Hammersmith,Entire home/apt,128.52,17,216,10,0.98
Tower Hamlets,Entire home/apt,221.11,8,55,117,1.24
Kensington and Chelsea,Entire home/apt,161.0,20,234,342,1.08
Islington,Entire home/apt,177.21,29,191,102,1.46
Islington,Private room,86.72,16,89,231,6.2
Camden,Shared room,38.59,24,144,129,1.27
Camden,Private room,87.44,27,142,222,1.4
Westminster,Private room,62.93,8,223,269,0.47
Islington,Private room,127.81,5,239,362,0.22
Wandsworth,Private room,76.75,3,61,108,0.62
Islington,Private room,95.35,8,51,90,2.01
Westminster,Shared room,56.38,16,135,361,1.16
Camden,Private room,39.44,17,207,18,1.48
Kensington and Chelsea,Entire home/apt,350.77,26,299,331,0.42
Wandsworth,Entire home/apt,152.38,16,95,344,2.66
Lambeth,Shared room,28.91,6,181,248,0.34
Camden,Entire home/apt,175.58,25,95,345,0.4
Hammersmith,Private room,157.16,27,132,278,0.24
Lambeth,Entire home/apt,150.64,8,275,178,0.44
Southwark,Entire home/apt,162.63,27,53,33,0.1
Hammersmith,Entire home/apt,242.81,23,45,311,0.42
Wandsworth,Private room,91.08,17,43,127,2.32
Westminster,Shared room,41.03,3,44,107,0.88
Westminster,Private room,155.71,6,189,174,5.17
Southwark,Private room,90.08,8,203,212,2.6
Hackney,Entire home/apt,152.74,18,179,170,1.1
Westminster,Entire home/apt,113.79,13,137,326,1.06
Westminster,Entire home/apt,370.98,23,24,126,1.49
Islington,Entire home/apt,160.74,26,279,10,0.07
Hackney,Private room,74.33,23,82,228,0.11
Westminster,Private room,107.3,7,158,127,1.99
Camden,Entire home/apt,420.53,4,28,193,6.43
Islington,Entire home/apt,196.58,17,123,18,0.17
Kensington and Chelsea,Private room,158.96,24,60,25,0.16
Islington,Private room,81.3,11,156,362,1.23
Hackney,Private room,71.63,29,91,285,1.37
Wandsworth,Private room,81.39,1,114,261,0.31
Westminster,Entire home/apt,89.82,3,205,286,0.91
Islington,Entire home/apt,159.87,4,144,85,1.87
Camden,Private room,68.68,20,148,204,2.13
Islington,Entire home/apt,104.71,23,166,160,0.16
Tower Hamlets,Private room,62.16,8,274,352,4.87
Lambeth,Entire home/apt,108.17,18,149,45,0.83
Westminster,Entire home/apt,158.69,14,151,322,0.97
Westminster,Private room,61.69,16,190,11,0.58
Westminster,Entire home/apt,319.87,11,184,120,1.29
Hammersmith,Entire home/apt,195.89,6,215,42,0.43
Hammersmith,Private room,90.47,18,21,360,0.45
Hammersmith,Entire home/apt,153.03,24,175,357,1.04
Lambeth,Private room,56.0,12,169,38,1.15
Tower Hamlets,Entire home/apt,134.69,1,140,145,5.91
Kensington and Chelsea,Entire home/apt,269.19,9,265,187,2.26
Hackney,Private room,97.89,6,55,318,1.38
Tower Hamlets,Private room,38.67,18,104,87,1.12
Tower Hamlets,Entire home/apt,126.52,26,93,297,2.61
Westminster,Private room,46.83,20,60,148,2.83
Lambeth,Entire home/apt,99.25,1,285,352,2.08
Tower Hamlets,Entire home/apt,176.82,24,25,193,1.5
Westminster,Entire home/apt,372.61,19,162,298,1.46
Westminster,Entire home/apt,110.08,11,137,186,3.25
Hammersmith,Private room,51.14,10,25,55,1.88
Hammersmith,Entire home/apt,414.32,20,90,21,1.23
Westminster,Private room,123.86,20,52,355,0.52
Tower Hamlets,Entire home/apt,71.5,10,298,166,1.07
Hackney,Private room,61.71,15,6,271,2.96
Southwark,Private room,129.01,8,160,65,3.29
Tower Hamlets,Entire home/apt,177.32,11,201,131,2.18
Wandsworth,Entire home/apt,140.33,16,32,57,0.24
Hackney,Private room,103.26,29,41,84,1.14
Hackney,Entire home/apt,197.65,9,214,70,0.38
Wandsworth,Entire home/apt,63.0,6,161,190,1.25
Westminster,Private room,79.55,2,168,61,4.72
Tower Hamlets,Entire home/apt,159.28,15,7,153,0.68
Southwark,Private room,48.35,16,103,229,2.67
Camden,Private room,96.2,7,256,294,1.61
Tower Hamlets,Entire home/apt,291.96,2,109,32,1.6
Hammersmith,Entire home/apt,147.65,1,0,132,1.26
Westminster,Entire home/apt,581.4,3,122,319,3.22
Wandsworth,Entire home/apt,269.46,21,204,314,0.4
Lambeth,Entire home/apt,83.43,4,53,280,1.82
Lambeth,Entire home/apt,139.52,10,289,42,2.94
Lambeth,Entire home/apt,111.05,10,203,0,1.04
Camden,Entire home/apt,236.21,21,7,329,4.69
Camden,Entire home/apt,210.71,11,275,276,1.79
Camden,Entire home/apt,126.05,26,200,114,3.63
Islington,Entire home/apt,121.4,26,110,358,4.78
Hackney,Entire home/apt,168.94,29,152,103,1.98
Islington,Entire home/apt,177.67,23,46,12,0.76
Camden,Private room,58.58,28,76,168,0.17
Southwark,Entire home/apt,89.6,16,229,95,1.33
Hammersmith,Entire home/apt,116.51,9,192,329,0.78
Hackney,Private room,163.55,9,284,273,3.6
Camden,Entire home/apt,160.97,26,103,169,3.23
Camden,Entire home/apt,128.03,28,135,222,2.88
Lambeth,Entire home/apt,106.01,17,141,8,1.32
Southwark,Entire home/apt,88.44,20,135,3,4.83
Kensington and Chelsea,Entire home/apt,526.94,12,47,239,0.38
Tower Hamlets,Private room,55.58,9,3,75,0.66
Hammersmith,Entire home/apt,199.38,13,38,313,0.28
Hackney,Entire home/apt,163.19,2,265,204,3.34
Westminster,Entire home/apt,170.09,16,83,142,1.67
Westminster,Private room,123.71,15,111,143,2.79
Kensington and Chelsea,Entire home/apt,168.32,29,267,83,0.89
Southwark,Entire home/apt,178.4,22,288,285,6.15
Camden,Entire home/apt,55.79,23,205,93,0.9
Islington,Entire home/apt,184.47,14,248,245,0.69
Wandsworth,Entire home/apt,103.38,24,65,149,1.54
Kensington and Chelsea,Entire home/apt,209.94,5,54,60,1.27
Lambeth,Entire home/apt,52.67,20,270,192,0.55
Lambeth,Entire home/apt,129.84,18,66,9,0.85
Westminster,Entire home/apt,356.32,27,112,132,2.91
Wandsworth,Entire home/apt,248.81,23,75,157,0.47
Hackney,Entire home/apt,123.92,9,166,129,2.47
Southwark,Entire home/apt,145.75,4,192,190,3.91
Kensington and Chelsea,Entire home/apt,291.99,15,299,109,1.92
Kensington and Chelsea,Entire home/apt,132.85,20,139,189,0.62
Southwark,Private room,107.88,25,267,280,1.41
Wandsworth,Entire home/apt,138.42,20,176,13,0.46
Wandsworth,Entire home/apt,207.67,5,104,146,1.32
Lambeth,Entire home/apt,136.32,14,256,345,4.83
Hammersmith,Entire home/apt,309.15,16,269,220,0.28
Islington,Entire home/apt,85.83,10,214,327,1.13
Tower Hamlets,Shared room,30.36,21,92,320,0.12
Westminster,Private room,73.75,20,206,268,1.32
Hackney,Entire home/apt,286.34,24,10,186,0.67
Hammersmith,Entire home/apt,129.39,12,137,318,0.77
Camden,Private room,94.48,7,240,69,0.02
Southwark,Shared room,38.7,9,265,9,4.27
Islington,Private room,35.14,5,118,66,1.05
Southwark,Entire home/apt,179.81,28,278,108,0.26
Lambeth,Private room,54.95,26,217,221,2.9
Lambeth,Entire home/apt,175.45,7,241,89,1.62
Islington,Private room,72.76,22,233,234,4.03
Wandsworth,Shared room,48.18,3,276,319,1.7
Camden,Shared room,55.58,3,270,95,0.49
Southwark,Private room,64.33,21,117,191,1.76
Hackney,Entire home/apt,174.95,15,243,72,1.74
Camden,Entire home/apt,180.3,19,72,122,1.96
Lambeth,Private room,101.68,26,252,12,3.41
Hackney,Entire home/apt,128.16,26,172,155,2.11
Camden,Entire home/apt,203.64,10,272,67,1.05
Tower Hamlets,Entire home/apt,160.19,25,88,197,1.86
Hackney,Entire home/apt,226.2,18,181,256,0.39
Islington,Private room,54.93,15,7,37,5.89
Kensington and Chelsea,Private room,82.32,7,137,101,0.24
Wandsworth,Entire home/apt,36.18,19,286,179,3.17
Kensington and Chelsea,Private room,92.97,23,47,108,1.42
Lambeth,Private room,77.41,13,89,341,0.59
